Glaze Name,ID,Image File,Image Path,File Exists,File Size (KB)
"Cotton Tail","SC-16","sc_16_cone06.jpg","glaze_images/sc_16_cone06.jpg","Yes","58"
"Ivory Tower","SC-37","sc_37_cone06.jpg","glaze_images/sc_37_cone06.jpg","Yes","69"
"Yella Bout It","SC-55","sc_55_cone06.jpg","glaze_images/sc_55_cone06.jpg","Yes","84"
"Sunkissed","SC-6","sc_6_cone06.jpg","glaze_images/sc_6_cone06.jpg","Yes","73"
"Butter Me Up","SC-42","sc_42_cone06.jpg","glaze_images/sc_42_cone06.jpg","Yes","77"
"Dandelion","SC-24","sc_24_cone06.jpg","glaze_images/sc_24_cone06.jpg","Yes","77"
"Cant-elope","SC-97","sc_97_cone06.jpg","glaze_images/sc_97_cone06.jpg","Yes","77"
"Just Peachy","SC-102","sc_102_cone06.jpg","glaze_images/sc_102_cone06.jpg","Yes","516"
"Jack O'Lantern","SC-23","sc_23_cone06.jpg","glaze_images/sc_23_cone06.jpg","Yes","90"
"Orange-A-Peel","SC-75","sc_75_cone06.jpg","glaze_images/sc_75_cone06.jpg","Yes","93"
"Orange Ya Happy","SC-50","sc_50_cone06.jpg","glaze_images/sc_50_cone06.jpg","Yes","94"
"Melon-choly","SC-2","sc_2_cone06.jpg","glaze_images/sc_2_cone06.jpg","Yes","111"
"Cutie Pie Coral","SC-89","sc_89_cone06.jpg","glaze_images/sc_89_cone06.jpg","Yes","91"
"Tu Tu Tango","SC-88","sc_88_cone06.jpg","glaze_images/sc_88_cone06.jpg","Yes","90"
"Candy Apple Red","SC-73","sc_73_cone06.jpg","glaze_images/sc_73_cone06.jpg","Yes","87"
"Hot Tamale","SC-74","sc_74_cone06.jpg","glaze_images/sc_74_cone06.jpg","Yes","79"
"Ruby Slippers","SC-87","sc_87_cone06.jpg","glaze_images/sc_87_cone06.jpg","Yes","77"
"Cinnamon Stix","SC-81","sc_81_cone06.jpg","glaze_images/sc_81_cone06.jpg","Yes","82"
"Pink-A-Boo","SC-1","sc_1_cone06.jpg","glaze_images/sc_1_cone06.jpg","Yes","249"
"Makin Me Blush","SC-100","sc_100_cone06.jpg","glaze_images/sc_100_cone06.jpg","Yes","415"
"Pink-A-Dot","SC-70","sc_70_cone06.jpg","glaze_images/sc_70_cone06.jpg","Yes","82"
"Pinkie Swear","SC-95","sc_95_cone06.jpg","glaze_images/sc_95_cone06.jpg","Yes","87"
"Cheeky Pinky","SC-17","sc_17_cone06.jpg","glaze_images/sc_17_cone06.jpg","Yes","106"
"Rosey Posey","SC-18","sc_18_cone06.jpg","glaze_images/sc_18_cone06.jpg","Yes","104"
"Wine About It","SC-3","sc_3_cone06.jpg","glaze_images/sc_3_cone06.jpg","Yes","92"
"Blueberry Hill","SC-40","sc_40_cone06.jpg","glaze_images/sc_40_cone06.jpg","Yes","90"
"Grapel","SC-13","sc_13_cone06.jpg","glaze_images/sc_13_cone06.jpg","Yes","94"
"Orkid","SC-85","sc_85_cone06.jpg","glaze_images/sc_85_cone06.jpg","Yes","88"
"Lavendear","SC-103","sc_103_cone06.jpg","glaze_images/sc_103_cone06.jpg","Yes","567"
"Purple Haze","SC-53","sc_53_cone06.jpg","glaze_images/sc_53_cone06.jpg","Yes","102"
"Grape Jelly","SC-72","sc_72_cone06.jpg","glaze_images/sc_72_cone06.jpg","Yes","101"
"Purple-Licious","SC-71","sc_71_cone06.jpg","glaze_images/sc_71_cone06.jpg","Yes","97"
"Fruit Of The Vine","SC-33","sc_33_cone06.jpg","glaze_images/sc_33_cone06.jpg","Yes","96"
