Underglaze Name,ID,Image File,Image Path,File Exists,File Size (KB)
"China White","UG-51","ug-51_cone06.jpg","underglaze_images/ug-51_cone06.jpg","Yes","539"
"Ivory","UG-67","ug-67_cone06.jpg","underglaze_images/ug-67_cone06.jpg","Yes","570"
"Soft Yellow","UG-222","ug-222.jpg","underglaze_images/ug-222.jpg","Yes","728"
"Bright Yellow","UG-46","ug-46_cone06.jpg","underglaze_images/ug-46_cone06.jpg","Yes","811"
"Squash Yellow","UG-203","ug-203_cone06.jpg","underglaze_images/ug-203_cone06.jpg","Yes","784"
"Harvest Gold","UG-58","ug-58_cone06.jpg","underglaze_images/ug-58_cone06.jpg","Yes","766"
"Orange Sorbet","UG-85","ug-85_cone06.jpg","underglaze_images/ug-85_cone06.jpg","Yes","762"
"Apricot","UG-223","ug-223.jpg","underglaze_images/ug-223.jpg","Yes","692"
"Orange","UG-204","ug-204_cone06.jpg","underglaze_images/ug-204_cone06.jpg","Yes","785"
"Red Coral","UG-217","ug-217_cone06.jpg","underglaze_images/ug-217_cone06.jpg","Yes","865"
"Fire Engine Red","UG-206","ug-206_cone06.jpg","underglaze_images/ug-206_cone06.jpg","Yes","816"
"Flame Red","UG-207","ug-207_cone06.jpg","underglaze_images/ug-207_cone06.jpg","Yes","887"
"Dragon Red","UG-208","ug-208_cone06.jpg","underglaze_images/ug-208_cone06.jpg","Yes","893"
"Blush","UG-215","ug-215_cone06.jpg","underglaze_images/ug-215_cone06.jpg","Yes","718"
"Pink Pink","UG-146","ug-146_cone06.jpg","underglaze_images/ug-146_cone06.jpg","Yes","767"
"Peach","UG-216","ug-216_cone06.jpg","underglaze_images/ug-216_cone06.jpg","Yes","768"
"Rose","UG-224","ug-224.jpg","underglaze_images/ug-224.jpg","Yes","920"
"Crimson","UG-10","ug-10_cone06.jpg","underglaze_images/ug-10_cone06.jpg","Yes","804"
"Lilac","UG-92","ug-92_cone06.jpg","underglaze_images/ug-92_cone06.jpg","Yes","777"
"Regal Purple","UG-87","ug-87_cone06.jpg","underglaze_images/ug-87_cone06.jpg","Yes","801"
"Plum","UG-225","ug-225.jpg","underglaze_images/ug-225.jpg","Yes","985"
"Lavender","UG-226","ug-226.jpg","underglaze_images/ug-226.jpg","Yes","920"
"Wild Violet","UG-93","ug-93_cone06.jpg","underglaze_images/ug-93_cone06.jpg","Yes","829"
"Pansy Purple","UG-94","ug-94_cone06.jpg","underglaze_images/ug-94_cone06.jpg","Yes","813"
"Concord Grape","UG-227","ug-227.jpg","underglaze_images/ug-227.jpg","Yes","909"
"Baby Blue","UG-3","ug-3_cone06.jpg","underglaze_images/ug-3_cone06.jpg","Yes","689"
"Wedgewood Blue","UG-72","ug-72_cone06.jpg","underglaze_images/ug-72_cone06.jpg","Yes","717"
"Sea Blue","UG-2","ug-2_cone06.jpg","underglaze_images/ug-2_cone06.jpg","Yes","780"
