,,,,,China White,Ivory,Soft Yellow,Bright Yellow,Squash Yellow,Harvest Gold,Orange Sorbet,Apricot,Orange,Red Coral,Fire Engine Red,Flame Red,Dragon Red,Blush,Pink Pink,Peach,Rose,Crimson,Lilac,Regal Purple,Plum,Lavender,Wild Violet,Pansy Purple,Concord Grape,Baby Blue,Wedgewood Blue,Sea Blue,Bright Blue,Kings Blue,Midnight Blue,Electra Blue,Tucson Turquoise,Aquamarine,Jade,True Teal
Cotton Tail,sc_16_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/a5xiJzB01TTdn1WL4kgZMw/9-rCkqa3FZYJPls9ep8BuFGqH8gSiDgzd2MIFk1QXDGEtBEq58olaA0XzPVMFxJyojivyTgqlyutMYOllo4FLJpzzzGHM9L2oV6WHMkxMa7L2E-MHLrZCn-PeMXTTL3EQ8y1Lk2knNMUDldHSrS3IkUpj5iol1qELBvQCByt-Zw/W-ZHXgFzttTQFH4g1Xra0n31e_SaYGvprpMz-UBUziM),sc_16_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/a5xiJzB01TTdn1WL4kgZMw/9-rCkqa3FZYJPls9ep8BuFGqH8gSiDgzd2MIFk1QXDGEtBEq58olaA0XzPVMFxJyojivyTgqlyutMYOllo4FLJpzzzGHM9L2oV6WHMkxMa7L2E-MHLrZCn-PeMXTTL3EQ8y1Lk2knNMUDldHSrS3IkUpj5iol1qELBvQCByt-Zw/W-ZHXgFzttTQFH4g1Xra0n31e_SaYGvprpMz-UBUziM),,1,,,,,,,1,,1,,1,,1,,,1,,,1,1,1,,1,,,,,1,,,,1,1,1,1
Ivory Tower,sc_37_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/W8YJS1xMCPIFKE0EvUycaA/Ve6AyLjcnUqb8aeRpgS4bPw-sNTOc7hVGJ6thOqKci_cMdH768QZYpBZscXA6hLIJM6lrq8cFOxsIAXrUSAbXcvBSs4Lvkya06ZdN8Wl6UnXjy_qeVupI-VkKpWjbes6VOYBRBCTbg_BbvXt9Xcstl0QoJ_7BMtS2MIjUR3Cjr4/6qpdxbOy7P_sJk6CPyoUOjZBzGKUhbNRQWbhSQF811I),sc_37_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/W8YJS1xMCPIFKE0EvUycaA/Ve6AyLjcnUqb8aeRpgS4bPw-sNTOc7hVGJ6thOqKci_cMdH768QZYpBZscXA6hLIJM6lrq8cFOxsIAXrUSAbXcvBSs4Lvkya06ZdN8Wl6UnXjy_qeVupI-VkKpWjbes6VOYBRBCTbg_BbvXt9Xcstl0QoJ_7BMtS2MIjUR3Cjr4/6qpdxbOy7P_sJk6CPyoUOjZBzGKUhbNRQWbhSQF811I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Yella Bout It,sc_55_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/BOZN81TXHfx62940KDsNcQ/iLf97IAWZSLJe-A3a-6lHv93OLHIJkFZQhnEWYQb8RusbLGQDlfzcir4fVQ98oV81Nss29dPqtUpuI8APuP6MvZ2Xa-KI-DL3BYd4Uau31RFm80cFh510S3RY8IsWi4EKEf7wW-GxKqCpkSBUZonxZX7Mq36Nes6bzhxnV85y1s/EZ4vRBgsz2jVoNOmVHkMXhWTLrP9W-NeZPemaob-fzM),sc_55_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/BOZN81TXHfx62940KDsNcQ/iLf97IAWZSLJe-A3a-6lHv93OLHIJkFZQhnEWYQb8RusbLGQDlfzcir4fVQ98oV81Nss29dPqtUpuI8APuP6MvZ2Xa-KI-DL3BYd4Uau31RFm80cFh510S3RY8IsWi4EKEf7wW-GxKqCpkSBUZonxZX7Mq36Nes6bzhxnV85y1s/EZ4vRBgsz2jVoNOmVHkMXhWTLrP9W-NeZPemaob-fzM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunkissed,sc_6_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/6sPWKM1k6I1L3iiZWZRC0w/EH_zc-YD8kksxy_A9g12xdWVjp-hhEtewriKyj13rfboC8q3KZpqG7ZbT50rCAw_aK8oSaOrRoLwwVSfGHMpOXwSfaM0ISRsBw1XsAs4SdWuvge-ajbwz-1OFN9bROUEhjQdX7uq1mVmcf4saX_DlDNeu7YpstQgwCjB-UpJNhQ/35TOTX0vF2A4oP9DNoekManGhBRNlEP4brC94k_IJxo),sc_6_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/6sPWKM1k6I1L3iiZWZRC0w/EH_zc-YD8kksxy_A9g12xdWVjp-hhEtewriKyj13rfboC8q3KZpqG7ZbT50rCAw_aK8oSaOrRoLwwVSfGHMpOXwSfaM0ISRsBw1XsAs4SdWuvge-ajbwz-1OFN9bROUEhjQdX7uq1mVmcf4saX_DlDNeu7YpstQgwCjB-UpJNhQ/35TOTX0vF2A4oP9DNoekManGhBRNlEP4brC94k_IJxo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butter Me Up,sc_42_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/U0J_DYp47AFFyeig_hQPTw/GBylpt6wEu4HfJlxbTSs9JdvOoiAX4sKW9h5Xsa4IMli_ug7YPm9AtMIDUfCWvxKb6Cskxv2GYzdj4SZLlYfcld0fPavzBP-dO0qGXxKgNPzdqJ08qIpoKv-0-A9s2lWXMS9lVEdb1OznaO9F4WZ3iMXdIKAd-eGW0IyUkyXygk/blgyYZUqRV07LKXOznOuCpWqqjGwwlaWmFidSfjTuek),sc_42_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/U0J_DYp47AFFyeig_hQPTw/GBylpt6wEu4HfJlxbTSs9JdvOoiAX4sKW9h5Xsa4IMli_ug7YPm9AtMIDUfCWvxKb6Cskxv2GYzdj4SZLlYfcld0fPavzBP-dO0qGXxKgNPzdqJ08qIpoKv-0-A9s2lWXMS9lVEdb1OznaO9F4WZ3iMXdIKAd-eGW0IyUkyXygk/blgyYZUqRV07LKXOznOuCpWqqjGwwlaWmFidSfjTuek),,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Dandelion,sc_24_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/S_6Ye1me7kf4wAfpZk6ttA/oOU7pn0FQqlesZUEnN2-xf5h7dgU4o7ijzXWbwA-FikdLN5g5KbdgdhO-_-yEO3Is232nw28YneaYG7t5qaez2RQX0MU_OOK5yyWlT0KhXCupvz1o6uuOVz9OfRcFDoi7tegWTQAhT1VarVRGlh725pYxmJ9hO1tkoLIuzcts1Y/LDAu91VlaITMvEbeABpDNDmQrwxEr01FRosDYyS9W-M),sc_24_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/S_6Ye1me7kf4wAfpZk6ttA/oOU7pn0FQqlesZUEnN2-xf5h7dgU4o7ijzXWbwA-FikdLN5g5KbdgdhO-_-yEO3Is232nw28YneaYG7t5qaez2RQX0MU_OOK5yyWlT0KhXCupvz1o6uuOVz9OfRcFDoi7tegWTQAhT1VarVRGlh725pYxmJ9hO1tkoLIuzcts1Y/LDAu91VlaITMvEbeABpDNDmQrwxEr01FRosDYyS9W-M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cant-elope,sc_97_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/GudUiGBKkTu2wBplMYLidg/cnznn0podTeArvjcfG4vFFlLNJc63X-IPakvgkxttX4FDE7JY0o_6XkF8lGXdALMqVG7qvD9Ed7kObsNPjwEnGAe4ds8P4KlXb14H3_nqijO_fKY061ZezvgSLQRrON9Z7LnmhWsOAw6qPViOXekAm7szj6Zh3UqpjEiOxbstMY/lwL_6Oy3VE0VJCRSqtoQji7RcKgC3ZFeLbpQR_hjReQ),sc_97_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/GudUiGBKkTu2wBplMYLidg/cnznn0podTeArvjcfG4vFFlLNJc63X-IPakvgkxttX4FDE7JY0o_6XkF8lGXdALMqVG7qvD9Ed7kObsNPjwEnGAe4ds8P4KlXb14H3_nqijO_fKY061ZezvgSLQRrON9Z7LnmhWsOAw6qPViOXekAm7szj6Zh3UqpjEiOxbstMY/lwL_6Oy3VE0VJCRSqtoQji7RcKgC3ZFeLbpQR_hjReQ),,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Peachy,sc_102_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/pKobf6NYiaK-QFqWbfyJyA/32v53dtXNoVs_1oEtBaEfmCUzqTxLzXxUxdfYPzbmnMUzaazLQMdzJYo1eKfhc8bbv-mUG-U_D8_0QRbOz4VN5yRjb3oyLF7EZm_zzfwVpd6TESmlt_ak5pTutXga4nyoLGxjDbrvCzYF6HXx7XRmNa_e7FMUbx7snwQw7F0pc8/eL_BYV3FWfYsCTbfCaQHHVLwrZoDK4U7jDQqQTzM_C0),sc_102_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/pKobf6NYiaK-QFqWbfyJyA/32v53dtXNoVs_1oEtBaEfmCUzqTxLzXxUxdfYPzbmnMUzaazLQMdzJYo1eKfhc8bbv-mUG-U_D8_0QRbOz4VN5yRjb3oyLF7EZm_zzfwVpd6TESmlt_ak5pTutXga4nyoLGxjDbrvCzYF6HXx7XRmNa_e7FMUbx7snwQw7F0pc8/eL_BYV3FWfYsCTbfCaQHHVLwrZoDK4U7jDQqQTzM_C0),,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Jack O'Lantern,sc_23_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/OAnuAVrBv6P0X9Wzvp-GEg/v3x63UKj0qCczQi2Il0LB-Li-ilYKIqcjwNdpt78CHjit-5VsHRwMY1iUQvcu1pFZqHXwxdzTIfJfImcEe435_yWGBqOagewpc8bjwXwd5s7q0ENjmw19J9cohikwSHOWuRmnFMPJGojliripK7uORkt6WP47S9yZeADqISeqOM/bhwqqwXYdNHryr9Jy7jFpl3xZ4QbsqxuoKjtCBhPZbc),sc_23_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/OAnuAVrBv6P0X9Wzvp-GEg/v3x63UKj0qCczQi2Il0LB-Li-ilYKIqcjwNdpt78CHjit-5VsHRwMY1iUQvcu1pFZqHXwxdzTIfJfImcEe435_yWGBqOagewpc8bjwXwd5s7q0ENjmw19J9cohikwSHOWuRmnFMPJGojliripK7uORkt6WP47S9yZeADqISeqOM/bhwqqwXYdNHryr9Jy7jFpl3xZ4QbsqxuoKjtCBhPZbc),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange-A-Peel,sc_75_cone06.jpg (https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/MgCWPgGFi8Fjqz40dX8_IQ/pkvdWs1h_AYvfXlxNUuaPrQfUiGPBlm1Zo2wLbVral0-mcGOAYSPyxqS-W_Z-G70GFHZ6cKLB5if2ZMoXB_HDyvmHQkV3b9kGiP6aJLHJyfFDe98-WYhMY1qqb-QuhGTnoqWn2568vFXe_DlS-H7ZFF21PRgPxs8fmeQM1kN6_Y/KcNZFFt8iQuYwCJQsiQxXYpWNMzwyC1kpU6QVLvF0T4),sc_75_cone06.jpg,https://v5.airtableusercontent.com/v3/u/45/45/1759183200000/MgCWPgGFi8Fjqz40dX8_IQ/pkvdWs1h_AYvfXlxNUuaPrQfUiGPBlm1Zo2wLbVral0-mcGOAYSPyxqS-W_Z-G70GFHZ6cKLB5if2ZMoXB_HDyvmHQkV3b9kGiP6aJLHJyfFDe98-WYhMY1qqb-QuhGTnoqWn2568vFXe_DlS-H7ZFF21PRgPxs8fmeQM1kN6_Y/KcNZFFt8iQuYwCJQsiQxXYpWNMzwyC1kpU6QVLvF0T4),,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
