code,color_name,left_color_hex,top_color_hex,left_color_rgb,top_color_rgb
UG-51,China White,#cdc8c4,#dcd8d7,"(205, 200, 196)","(220, 216, 215)"
UG-67,Ivory,#d0c8b6,#e0dbc8,"(208, 200, 182)","(224, 219, 200)"
UG-222,Soft Yellow,#e8d896,#ebd975,"(232, 216, 150)","(235, 217, 117)"
UG-46,Bright Yellow,#cfb847,#e2c608,"(207, 184, 71)","(226, 198, 8)"
UG-203,Squash Yellow,#daa35a,#e7a31e,"(218, 163, 90)","(231, 163, 30)"
UG-58,Harvest Gold,#e29458,#ef9120,"(226, 148, 88)","(239, 145, 32)"
UG-85,Orange Sorbet,#e8ac89,#f89f52,"(232, 172, 137)","(248, 159, 82)"
UG-223,Apricot,#feb25f,#fb9e19,"(254, 178, 95)","(251, 158, 25)"
UG-204,Orange,#fb916a,#fd6d23,"(251, 145, 106)","(253, 109, 35)"
UG-217,Red Coral,#f5836c,#fa5f32,"(245, 131, 108)","(250, 95, 50)"
UG-206,Fire Engine Red,#d16d56,#d23c1b,"(209, 109, 86)","(210, 60, 27)"
UG-207,Flame Red,#cc8074,#c94533,"(204, 128, 116)","(201, 69, 51)"
UG-208,Dragon Red,#c0776c,#b83f31,"(192, 119, 108)","(184, 63, 49)"
UG-215,Blush,#dabfbc,#deb4af,"(218, 191, 188)","(222, 180, 175)"
UG-146,Pink Pink,#c8b0a7,#d5b8b1,"(200, 176, 167)","(213, 184, 177)"
UG-216,Peach,#daa39e,#e68c7b,"(218, 163, 158)","(230, 140, 123)"
UG-224,Rose,#dcacad,#dc8f94,"(220, 172, 173)","(220, 143, 148)"
UG-10,Crimson,#c6a4a7,#8d4b55,"(198, 164, 167)","(141, 75, 85)"
UG-92,Lilac,#dac3c6,#dbb7ca,"(218, 195, 198)","(219, 183, 202)"
UG-87,Regal Purple,#d8aeca,#bd74aa,"(216, 174, 202)","(189, 116, 170)"
UG-225,Plum,#7d535d,#4c273c,"(125, 83, 93)","(76, 39, 60)"
UG-226,Lavender,#c2bbc5,#a99bb4,"(194, 187, 197)","(169, 155, 180)"
UG-93,Wild Violet,#c5b6cf,#a781b2,"(197, 182, 207)","(167, 129, 178)"
UG-94,Pansy Purple,#ada2c4,#755a8d,"(173, 162, 196)","(117, 90, 141)"
UG-227,Concord Grape,#645b74,#4c235a,"(100, 91, 116)","(76, 35, 90)"
UG-3,Baby Blue,#c6cedb,#c4ccdb,"(198, 206, 219)","(196, 204, 219)"
UG-72,Wedgewood Blue,#b7c3d7,#a9bdd8,"(183, 195, 215)","(169, 189, 216)"
UG-2,Sea Blue,#a9b3cd,#93a3cc,"(169, 179, 205)","(147, 163, 204)"
UG-97,Bright Blue,#8a9bbc,#738cbd,"(138, 155, 188)","(115, 140, 189)"
UG-1,Kings Blue,#50729f,#06336b,"(80, 114, 159)","(6, 51, 107)"
UG-228,Midnight Blue,#465b78,#101e27,"(70, 91, 120)","(16, 30, 39)"
UG-19,Electra Blue,#90a8b9,#76a1bc,"(144, 168, 185)","(118, 161, 188)"
UG-82,Tucson Turquoise,#b4c8c6,#abc9cb,"(180, 200, 198)","(171, 201, 203)"
UG-229,Aquamarine,#406f84,#013a4a,"(64, 111, 132)","(1, 58, 74)"
UG-209,Jade,#8aac94,#6da988,"(138, 172, 148)","(109, 169, 136)"
UG-91,True Teal,#78a29b,#3c6c62,"(120, 162, 155)","(60, 108, 98)"
UG-219,Marine Blue,#92b5ba,#4997a0,"(146, 181, 186)","(73, 151, 160)"
UG-230,Blue Grass,#446a74,#01332e,"(68, 106, 116)","(1, 51, 46)"
UG-218,Pear Green,#d5c268,#e1c933,"(213, 194, 104)","(225, 201, 51)"
UG-231,Lime Green,#cac961,#b8c501,"(202, 201, 97)","(184, 197, 1)"
UG-22,Spring Green,#a4a545,#868906,"(164, 165, 69)","(134, 137, 6)"
UG-68,Apple Green,#d4d8b1,#cfd882,"(212, 216, 177)","(207, 216, 130)"
UG-233,Eucalyptus,#bfc3ab,#b7c498,"(191, 195, 171)","(183, 196, 152)"
UG-90,Green Mist,#b5c997,#93bb6c,"(181, 201, 151)","(147, 187, 108)"
UG-21,Leaf Green,#98a66d,#52602a,"(152, 166, 109)","(82, 96, 42)"
UG-210,Forest Green,#34522c,#40562f,"(52, 82, 44)","(64, 86, 47)"
UG-232,Olive,#8e8f69,#5e5c25,"(142, 143, 105)","(94, 92, 37)"
UG-220,Sage,#c4be9d,#b4af6b,"(196, 190, 157)","(180, 175, 107)"
UG-234,Ivory Pearl,#d2bfa6,#ccb386,"(210, 191, 166)","(204, 179, 134)"
UG-32,Cocoa,#c8bcb2,#d2bda5,"(200, 188, 178)","(210, 189, 165)"
UG-30,Sand,#ccb69a,#cfa46c,"(204, 182, 154)","(207, 164, 108)"
UG-235,Oatmeal,#ceb9a9,#c0a281,"(206, 185, 169)","(192, 162, 129)"
UG-57,Spice Brown,#d6aa7d,#dd994a,"(214, 170, 125)","(221, 153, 74)"
UG-213,Cinnamon,#c5886c,#bb5123,"(197, 136, 108)","(187, 81, 35)"
UG-31,Chocolate,#b57f5b,#a05011,"(181, 127, 91)","(160, 80, 17)"
UG-221,Cement,#afa89c,#a79c87,"(175, 168, 156)","(167, 156, 135)"
UG-34,Chestnut Brown,#7d6354,#5a3a22,"(125, 99, 84)","(90, 58, 34)"
UG-53,Silver Grey,#bbbbbb,#babab9,"(187, 187, 187)","(186, 186, 185)"
UG-236,Grey,#bebcbf,#928f90,"(190, 188, 191)","(146, 143, 144)"
UG-198,Dark Grey,#beb9b6,#928780,"(190, 185, 182)","(146, 135, 128)"
UG-50,Jet Black,#434447,#171312,"(67, 68, 71)","(23, 19, 18)"
